,Size,Method,MSE
571,40,Random Forest,1.1405293784982744
572,45,Random Forest,0.5300369152735128
573,50,Random Forest,0.689879724363667
574,55,Random Forest,0.5041720062445646
575,60,Random Forest,0.49589047334672226
576,65,Random Forest,0.6136750808253435
577,70,Random Forest,0.5630410443269425
578,75,Random Forest,0.723651299839034
579,80,Random Forest,0.6787934663772388
580,85,Random Forest,0.38409327283202377
581,90,Random Forest,0.5134139349101706
582,95,Random Forest,0.4872514501877201
583,100,Random Forest,0.5804911651804407
584,105,Random Forest,0.5085621505171595
585,110,Random Forest,0.6186012568826048
586,115,Random Forest,0.5241306043696344
587,120,Random Forest,0.504573276775475
588,20,Random Forest,1.1108432535584432
589,25,Random Forest,1.0779863073240212
590,30,Random Forest,0.953308998646531
591,35,Random Forest,0.7164883743363604
592,40,Random Forest,0.5904956392040742
593,45,Random Forest,0.6522514354843644
594,50,Random Forest,0.350412086282127
595,55,Random Forest,0.866370434203418
596,60,Random Forest,0.8063634231363249
597,65,Random Forest,0.5916820856443752
598,70,Random Forest,0.7081255199752763
599,75,Random Forest,0.6298653074313184
600,80,Random Forest,0.6926789034736245
601,85,Random Forest,0.5809811096739796
602,90,Random Forest,0.6478991092789184
603,95,Random Forest,0.46989694476429433
604,100,Random Forest,0.602533151912592
605,105,Random Forest,0.5809075996759303
606,110,Random Forest,0.4607198693277233
607,115,Random Forest,0.6787906738851789
608,120,Random Forest,0.5206919166530032
609,20,Random Forest,1.0514048557832831
610,25,Random Forest,0.541108012771107
611,30,Random Forest,0.9476381469636149
612,35,Random Forest,0.24099996128661078
613,40,Random Forest,0.5241398481182828
614,45,Random Forest,0.9355394138710404
615,50,Random Forest,1.0523147158965807
616,55,Random Forest,1.4271459223640852
617,60,Random Forest,0.5486183024207893
618,65,Random Forest,0.7873031664357281
619,70,Random Forest,0.8191824987838728
620,75,Random Forest,0.9895896215182874
621,80,Random Forest,0.9272553993981083
622,85,Random Forest,0.7926510813784138
623,90,Random Forest,0.6017943211304869
624,95,Random Forest,0.7898199912931452
625,100,Random Forest,0.4426337763557983
626,105,Random Forest,0.5861774717513778
627,110,Random Forest,0.5118349876227831
628,115,Random Forest,0.5427392948640436
629,120,Random Forest,0.6138062872677037
630,20,Random Forest,1.20158579775005
631,25,Random Forest,0.8067163579899507
632,30,Random Forest,0.30332730235152733
633,35,Random Forest,0.7374589728983022
634,40,Random Forest,0.7061251619117714
635,45,Random Forest,0.7347850804746751
636,50,Random Forest,0.38535715469384024
637,55,Random Forest,0.5642266889437528
638,60,Random Forest,0.38422742129634885
639,65,Random Forest,0.48402707965506464
640,70,Random Forest,0.419462454229112
641,75,Random Forest,0.812741788528919
642,80,Random Forest,0.4169193964922523
643,85,Random Forest,0.7825372410202476
644,90,Random Forest,0.5914128823030037
645,95,Random Forest,0.6636079092040132
646,100,Random Forest,0.4426481134718342
647,105,Random Forest,0.5287727593648149
648,110,Random Forest,0.5142548183106185
649,115,Random Forest,0.48004732440905445
650,120,Random Forest,0.5025217788463991
651,20,Random Forest,0.8234725327454857
652,25,Random Forest,1.2502782605648883
653,30,Random Forest,0.7992026258728275
654,35,Random Forest,0.8841069786642624
655,40,Random Forest,1.1683059099408202
656,45,Random Forest,0.8751077199634821
657,50,Random Forest,0.3519803602525329
658,55,Random Forest,0.44033239167800725
659,60,Random Forest,0.8407341650113044
660,65,Random Forest,0.43999435775618356
661,70,Random Forest,0.8506943183152013
662,75,Random Forest,1.0183556682204133
663,80,Random Forest,0.7716788665776364
664,85,Random Forest,0.44277553244611995
665,90,Random Forest,0.44874705054258635
666,95,Random Forest,0.7076795038872143
667,100,Random Forest,0.488654812141364
668,105,Random Forest,0.7177855974322631
669,110,Random Forest,0.5514618089042272
670,115,Random Forest,0.4851553090953309
671,120,Random Forest,0.6078630187515925
672,20,Random Forest,0.5401732596514328
673,25,Random Forest,1.6953036079197674
674,30,Random Forest,1.221603576326149
675,35,Random Forest,0.504136660251132
676,40,Random Forest,1.1527115585545644
677,45,Random Forest,0.6525355499904949
678,50,Random Forest,0.4293942547967685
679,55,Random Forest,0.4790231974758244
680,60,Random Forest,1.185609342224678
681,65,Random Forest,0.48951557379946664
682,70,Random Forest,0.4650883152398228
683,75,Random Forest,0.788441433403933
684,80,Random Forest,0.5342339137368517
685,85,Random Forest,0.48901562420242434
686,90,Random Forest,0.46237886800377903
687,95,Random Forest,0.6038674785998946
688,100,Random Forest,0.5885676720371945
689,105,Random Forest,0.6131832437900798
690,110,Random Forest,0.6208736625870928
691,115,Random Forest,0.5763396917127741
692,120,Random Forest,0.6675135512015639
693,20,Random Forest,0.1347413852536459
694,25,Random Forest,0.7795692636526065
695,30,Random Forest,0.683653364787547
696,35,Random Forest,1.3807855054104508
697,40,Random Forest,0.5047136896801321
698,45,Random Forest,0.3959672377259374
699,50,Random Forest,0.7973261701253342
700,55,Random Forest,0.963072000750548
701,60,Random Forest,0.7874297882873321
702,65,Random Forest,0.5509578603826031
703,70,Random Forest,0.3546473335081539
704,75,Random Forest,0.6263988499591664
705,80,Random Forest,0.6601976816390185
706,85,Random Forest,0.47803828920887326
707,90,Random Forest,0.46785979322650983
708,95,Random Forest,0.36218852759249315
709,100,Random Forest,0.37861250949768177
710,105,Random Forest,0.508209636288743
711,110,Random Forest,0.553321160062647
712,115,Random Forest,0.4634219183898454
713,120,Random Forest,0.44938319917290775
714,20,Random Forest,0.5399435274617258
715,25,Random Forest,0.443931150537228
716,30,Random Forest,0.6654553061993181
717,35,Random Forest,0.5494365311663291
718,40,Random Forest,0.800534442524883
719,45,Random Forest,1.2916534360269791
720,50,Random Forest,0.7317267099436684
721,55,Random Forest,0.3769684364283874
722,60,Random Forest,0.441127176021102
723,65,Random Forest,0.7419467421449807
724,70,Random Forest,0.39006006751772854
725,75,Random Forest,0.9023680257095129
726,80,Random Forest,0.5650379202783974
727,85,Random Forest,0.5053165123580258
728,90,Random Forest,0.5589009968708439
729,95,Random Forest,0.6326603094957542
730,100,Random Forest,0.6894348023021595
731,105,Random Forest,0.25337028191356353
732,110,Random Forest,0.5853782064783852
733,115,Random Forest,0.558383771774329
734,120,Random Forest,0.5912026657585052
735,20,Random Forest,1.2523889767755365
736,25,Random Forest,1.018273169467085
737,30,Random Forest,0.81580857855235
